Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
1/30/2020,1,1,0,0,0,0
1/31/2020,0,1,0,0,0,0
2/1/2020,0,1,0,0,0,0
2/2/2020,1,2,0,0,0,0
2/3/2020,1,3,0,0,0,0
2/4/2020,0,3,0,0,0,0
2/5/2020,0,3,0,0,0,0
2/6/2020,0,3,0,0,0,0
2/7/2020,0,3,0,0,0,0
2/8/2020,0,3,0,0,0,0
2/9/2020,0,3,0,0,0,0
2/10/2020,0,3,0,0,0,0
2/11/2020,0,3,0,0,0,0
2/12/2020,0,3,0,0,0,0
2/13/2020,0,3,1,1,0,0
2/14/2020,0,3,0,1,0,0
2/15/2020,0,3,0,1,0,0
2/16/2020,0,3,1,2,0,0
2/17/2020,0,3,0,2,0,0
2/18/2020,0,3,0,2,0,0
2/19/2020,0,3,0,2,0,0
2/20/2020,0,3,1,3,0,0
2/21/2020,0,3,0,3,0,0
2/22/2020,0,3,0,3,0,0
2/23/2020,0,3,0,3,0,0
2/24/2020,0,3,0,3,0,0
2/25/2020,0,3,0,3,0,0
2/26/2020,0,3,0,3,0,0
2/27/2020,0,3,0,3,0,0
2/28/2020,0,3,0,3,0,0
2/29/2020,0,3,0,3,0,0
3/1/2020,0,3,0,3,0,0
3/2/2020,2,5,0,3,0,0
3/3/2020,1,6,0,3,0,0
3/4/2020,22,28,0,3,0,0
3/5/2020,2,30,0,3,0,0
3/6/2020,1,31,0,3,0,0
3/7/2020,3,34,0,3,0,0
3/8/2020,5,39,0,3,0,0
3/9/2020,9,48,0,3,0,0
3/10/2020,15,63,1,4,0,0
3/11/2020,8,71,0,4,0,0
3/12/2020,10,81,0,4,1,1
3/13/2020,10,91,6,10,0,1
3/14/2020,11,102,0,10,1,2
3/15/2020,10,112,3,13,0,2
3/16/2020,14,126,1,14,0,2
3/17/2020,20,146,1,15,1,3
3/18/2020,25,171,0,15,0,3
3/19/2020,27,198,5,20,1,4
3/20/2020,58,256,3,23,0,4
3/21/2020,78,334,0,23,0,4
3/22/2020,69,403,0,23,3,7
3/23/2020,94,497,2,25,2,9
3/24/2020,74,571,15,40,1,10
3/25/2020,86,657,3,43,1,11
3/26/2020,73,730,7,50,5,16
3/27/2020,153,883,25,75,3,19
3/28/2020,136,1019,10,85,5,24
3/29/2020,120,1139,17,102,3,27
3/30/2020,187,1326,35,137,14,41
3/31/2020,309,1635,13,150,6,47
4/1/2020,424,2059,19,169,6,53
4/2/2020,486,2545,22,191,16,69
4/3/2020,560,3105,39,230,14,83
4/4/2020,579,3684,56,286,13,96
4/5/2020,609,4293,43,329,22,118
4/6/2020,484,4777,65,394,16,134
4/7/2020,573,5350,75,469,27,161
4/8/2020,565,5915,96,565,20,181
4/9/2020,813,6728,70,635,46,227
4/10/2020,871,7599,151,786,22,249
4/11/2020,854,8453,186,972,41,290
